dockey,control_id,control_name,mapping_type,technique_id,technique_name,mapping_description
872,AC-3,Access Enforcement,mitigates,T1037.002,Logon Script (Mac),
873,AC-3,Access Enforcement,mitigates,T1037.003,Network Logon Script,
874,AC-3,Access Enforcement,mitigates,T1037.004,Rc.common,
875,AC-3,Access Enforcement,mitigates,T1037.005,Startup Items,
876,SI-3,Malicious Code Protection,mitigates,T1037,Boot or Logon Initialization Scripts,
877,SI-3,Malicious Code Protection,mitigates,T1037.002,Logon Script (Mac),
878,SI-3,Malicious Code Protection,mitigates,T1037.003,Network Logon Script,
879,SI-3,Malicious Code Protection,mitigates,T1037.004,Rc.common,
880,SI-3,Malicious Code Protection,mitigates,T1037.005,Startup Items,
881,SI-4,Information System Monitoring,mitigates,T1037,Boot or Logon Initialization Scripts,
882,SI-4,Information System Monitoring,mitigates,T1037.002,Logon Script (Mac),
883,SI-4,Information System Monitoring,mitigates,T1037.003,Network Logon Script,
884,SI-4,Information System Monitoring,mitigates,T1037.004,Rc.common,
885,SI-4,Information System Monitoring,mitigates,T1037.005,Startup Items,
886,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1037,Boot or Logon Initialization Scripts,
887,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1037.002,Logon Script (Mac),
888,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1037.003,Network Logon Script,
889,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1037.004,Rc.common,
890,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1037.005,Startup Items,
891,CA-7,Continuous Monitoring,mitigates,T1037,Boot or Logon Initialization Scripts,
892,CA-7,Continuous Monitoring,mitigates,T1037.002,Logon Script (Mac),
893,CA-7,Continuous Monitoring,mitigates,T1037.003,Network Logon Script,
894,CA-7,Continuous Monitoring,mitigates,T1037.004,Rc.common,
895,CA-7,Continuous Monitoring,mitigates,T1037.005,Startup Items,
896,CM-2,Baseline Configuration,mitigates,T1037,Boot or Logon Initialization Scripts,
897,CM-2,Baseline Configuration,mitigates,T1037.002,Logon Script (Mac),
898,CM-2,Baseline Configuration,mitigates,T1037.003,Network Logon Script,
899,CM-2,Baseline Configuration,mitigates,T1037.004,Rc.common,
900,CM-2,Baseline Configuration,mitigates,T1037.005,Startup Items,
901,CM-6,Configuration Settings,mitigates,T1037,Boot or Logon Initialization Scripts,
902,CM-6,Configuration Settings,mitigates,T1037.002,Logon Script (Mac),
903,CM-6,Configuration Settings,mitigates,T1037.003,Network Logon Script,
904,CM-6,Configuration Settings,mitigates,T1037.004,Rc.common,
905,CM-6,Configuration Settings,mitigates,T1037.005,Startup Items,
906,CA-7,Continuous Monitoring,mitigates,T1053.006,Systemd Timers,
907,SI-4,Information System Monitoring,mitigates,T1053.006,Systemd Timers,
908,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1053.006,Systemd Timers,
909,AC-3,Access Enforcement,mitigates,T1055.009,Proc Memory,
910,CA-7,Continuous Monitoring,mitigates,T1055.009,Proc Memory,
911,SI-3,Malicious Code Protection,mitigates,T1055.009,Proc Memory,
912,SI-4,Information System Monitoring,mitigates,T1055.009,Proc Memory,
913,SI-16,Memory Protection,mitigates,T1055.009,Proc Memory,
914,AC-2,Account Management,mitigates,T1070.003,Clear Command History,
915,AC-2,Account Management,mitigates,T1070.002,Clear Linux or Mac System Logs,
916,AC-2,Account Management,mitigates,T1070.001,Clear Windows Event Logs,
917,AC-2,Account Management,mitigates,T1070,Indicator Removal on Host,
918,AC-3,Access Enforcement,mitigates,T1070.003,Clear Command History,
919,AC-3,Access Enforcement,mitigates,T1070.002,Clear Linux or Mac System Logs,
920,AC-3,Access Enforcement,mitigates,T1070.001,Clear Windows Event Logs,
921,AC-3,Access Enforcement,mitigates,T1070,Indicator Removal on Host,
922,AC-5,Separation Of Duties,mitigates,T1070.003,Clear Command History,
923,AC-5,Separation Of Duties,mitigates,T1070.002,Clear Linux or Mac System Logs,
924,AC-5,Separation Of Duties,mitigates,T1070.001,Clear Windows Event Logs,
925,AC-5,Separation Of Duties,mitigates,T1070,Indicator Removal on Host,
926,AC-6,Least Privilege,mitigates,T1070.003,Clear Command History,
927,AC-6,Least Privilege,mitigates,T1070.002,Clear Linux or Mac System Logs,
928,AC-6,Least Privilege,mitigates,T1070.001,Clear Windows Event Logs,
929,AC-6,Least Privilege,mitigates,T1070,Indicator Removal on Host,
930,CM-2,Baseline Configuration,mitigates,T1070.003,Clear Command History,
931,CM-2,Baseline Configuration,mitigates,T1070.002,Clear Linux or Mac System Logs,
932,CM-2,Baseline Configuration,mitigates,T1070.001,Clear Windows Event Logs,
933,CM-2,Baseline Configuration,mitigates,T1070,Indicator Removal on Host,
934,CM-6,Configuration Settings,mitigates,T1070.003,Clear Command History,
935,CM-6,Configuration Settings,mitigates,T1070.002,Clear Linux or Mac System Logs,
936,CM-6,Configuration Settings,mitigates,T1070.001,Clear Windows Event Logs,
937,CM-6,Configuration Settings,mitigates,T1070,Indicator Removal on Host,
938,CA-7,Continuous Monitoring,mitigates,T1070.003,Clear Command History,
939,CA-7,Continuous Monitoring,mitigates,T1070.002,Clear Linux or Mac System Logs,
940,CA-7,Continuous Monitoring,mitigates,T1070.001,Clear Windows Event Logs,
941,CA-7,Continuous Monitoring,mitigates,T1070,Indicator Removal on Host,
942,SI-3,Malicious Code Protection,mitigates,T1070.003,Clear Command History,
943,SI-3,Malicious Code Protection,mitigates,T1070.002,Clear Linux or Mac System Logs,
944,SI-3,Malicious Code Protection,mitigates,T1070.001,Clear Windows Event Logs,
945,SI-3,Malicious Code Protection,mitigates,T1070,Indicator Removal on Host,
946,SI-4,Information System Monitoring,mitigates,T1070.003,Clear Command History,
947,SI-4,Information System Monitoring,mitigates,T1070.002,Clear Linux or Mac System Logs,
948,SI-4,Information System Monitoring,mitigates,T1070.001,Clear Windows Event Logs,
949,SI-4,Information System Monitoring,mitigates,T1070,Indicator Removal on Host,
950,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1070.003,Clear Command History,
951,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1070.002,Clear Linux or Mac System Logs,
952,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1070.001,Clear Windows Event Logs,
953,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1070,Indicator Removal on Host,
954,AC-3,Access Enforcement,mitigates,T1080,Taint Shared Content,
955,CA-7,Continuous Monitoring,mitigates,T1080,Taint Shared Content,
956,SC-4,Information In Shared Resources,mitigates,T1080,Taint Shared Content,
957,SC-7,Boundary Protection,mitigates,T1080,Taint Shared Content,
958,SI-3,Malicious Code Protection,mitigates,T1080,Taint Shared Content,
959,CM-2,Baseline Configuration,mitigates,T1098.004,SSH Authorized Keys,
960,CM-6,Configuration Settings,mitigates,T1098.004,SSH Authorized Keys,
961,CM-7,Least Functionality,mitigates,T1098.004,SSH Authorized Keys,
962,SC-12,Cryptographic Key Establishment And Management,mitigates,T1098.004,SSH Authorized Keys,
963,AC-3,Access Enforcement,mitigates,T1098.004,SSH Authorized Keys,
964,AC-3,Access Enforcement,mitigates,T1218.002,Control Panel,
965,CA-7,Continuous Monitoring,mitigates,T1218.002,Control Panel,
966,SI-3,Malicious Code Protection,mitigates,T1218.002,Control Panel,
967,SI-4,Information System Monitoring,mitigates,T1218.002,Control Panel,
968,CM-2,Baseline Configuration,mitigates,T1218.002,Control Panel,
969,CM-6,Configuration Settings,mitigates,T1218.002,Control Panel,
970,AC-3,Access Enforcement,mitigates,T1222,File and Directory Permissions Modification,
971,AC-3,Access Enforcement,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
972,AC-3,Access Enforcement,mitigates,T1222.001,Windows File and Directory Permissions Modification,
973,AC-6,Least Privilege,mitigates,T1222,File and Directory Permissions Modification,
974,AC-6,Least Privilege,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
975,AC-6,Least Privilege,mitigates,T1222.001,Windows File and Directory Permissions Modification,
976,AC-16,Security Attributes,mitigates,T1222,File and Directory Permissions Modification,
977,AC-16,Security Attributes,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
978,AC-16,Security Attributes,mitigates,T1222.001,Windows File and Directory Permissions Modification,
979,CA-7,Continuous Monitoring,mitigates,T1222,File and Directory Permissions Modification,
980,CA-7,Continuous Monitoring,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
981,CA-7,Continuous Monitoring,mitigates,T1222.001,Windows File and Directory Permissions Modification,
982,SI-4,Information System Monitoring,mitigates,T1222,File and Directory Permissions Modification,
983,SI-4,Information System Monitoring,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
984,SI-4,Information System Monitoring,mitigates,T1222.001,Windows File and Directory Permissions Modification,
985,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1222,File and Directory Permissions Modification,
986,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,
987,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1222.001,Windows File and Directory Permissions Modification,
988,CA-7,Continuous Monitoring,mitigates,T1489,Service Stop,
989,SI-4,Information System Monitoring,mitigates,T1489,Service Stop,
990,CM-2,Baseline Configuration,mitigates,T1530,Data from Cloud Storage Object,
991,CM-6,Configuration Settings,mitigates,T1530,Data from Cloud Storage Object,
992,AC-16,Security Attributes,mitigates,T1530,Data from Cloud Storage Object,
993,AC-20,Use Of External Information Systems,mitigates,T1530,Data from Cloud Storage Object,
994,CA-7,Continuous Monitoring,mitigates,T1530,Data from Cloud Storage Object,
995,SC-7,Boundary Protection,mitigates,T1530,Data from Cloud Storage Object,
996,SC-28,Protection Of Information At Rest,mitigates,T1530,Data from Cloud Storage Object,
997,SI-3,Malicious Code Protection,mitigates,T1543,Create or Modify System Process,
998,SI-3,Malicious Code Protection,mitigates,T1543.002,Systemd Service,
999,SI-4,Information System Monitoring,mitigates,T1543,Create or Modify System Process,
1000,SI-4,Information System Monitoring,mitigates,T1543.002,Systemd Service,
1001,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1543,Create or Modify System Process,
1002,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1543.002,Systemd Service,
1003,SI-16,Memory Protection,mitigates,T1543,Create or Modify System Process,
1004,SI-16,Memory Protection,mitigates,T1543.002,Systemd Service,
1005,CA-7,Continuous Monitoring,mitigates,T1543,Create or Modify System Process,
1006,CA-7,Continuous Monitoring,mitigates,T1543.002,Systemd Service,
1007,CM-2,Baseline Configuration,mitigates,T1543,Create or Modify System Process,
1008,CM-2,Baseline Configuration,mitigates,T1543.002,Systemd Service,
1009,CM-6,Configuration Settings,mitigates,T1543,Create or Modify System Process,
1010,CM-6,Configuration Settings,mitigates,T1543.002,Systemd Service,
1011,CM-2,Baseline Configuration,mitigates,T1546.004,.bash_profile and .bashrc,
1012,CM-2,Baseline Configuration,mitigates,T1546.013,PowerShell Profile,
1013,CM-6,Configuration Settings,mitigates,T1546.004,.bash_profile and .bashrc,
1014,CM-6,Configuration Settings,mitigates,T1546.013,PowerShell Profile,
1015,CA-7,Continuous Monitoring,mitigates,T1546.004,.bash_profile and .bashrc,
1016,CA-7,Continuous Monitoring,mitigates,T1546.013,PowerShell Profile,
1017,SI-3,Malicious Code Protection,mitigates,T1546.004,.bash_profile and .bashrc,
1018,SI-3,Malicious Code Protection,mitigates,T1546.013,PowerShell Profile,
1019,SI-4,Information System Monitoring,mitigates,T1546.004,.bash_profile and .bashrc,
1020,SI-4,Information System Monitoring,mitigates,T1546.013,PowerShell Profile,
1021,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1546.004,.bash_profile and .bashrc,
1022,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1546.013,PowerShell Profile,
1023,AC-3,Access Enforcement,mitigates,T1546.004,.bash_profile and .bashrc,
1024,AC-3,Access Enforcement,mitigates,T1546.013,PowerShell Profile,
1025,AC-6,Least Privilege,mitigates,T1546.004,.bash_profile and .bashrc,
1026,AC-6,Least Privilege,mitigates,T1546.013,PowerShell Profile,
1027,AC-3,Access Enforcement,mitigates,T1547.003,Time Providers,
1028,SI-4,Information System Monitoring,mitigates,T1547.003,Time Providers,
1029,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1547.011,Plist Modification,
1030,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1547.003,Time Providers,
1031,CA-7,Continuous Monitoring,mitigates,T1547.011,Plist Modification,
1032,CA-7,Continuous Monitoring,mitigates,T1547.003,Time Providers,
1033,CM-2,Baseline Configuration,mitigates,T1547.003,Time Providers,
1034,CM-6,Configuration Settings,mitigates,T1547.003,Time Providers,
1035,RA-5,Vulnerability Scanning,mitigates,T1548,Abuse Elevation Control Mechanism,
1036,RA-5,Vulnerability Scanning,mitigates,T1548.003,Sudo and Sudo Caching,
1037,CM-2,Baseline Configuration,mitigates,T1548,Abuse Elevation Control Mechanism,
1038,CM-2,Baseline Configuration,mitigates,T1548.003,Sudo and Sudo Caching,
1039,CM-6,Configuration Settings,mitigates,T1548,Abuse Elevation Control Mechanism,
1040,CM-6,Configuration Settings,mitigates,T1548.003,Sudo and Sudo Caching,
1041,AC-2,Account Management,mitigates,T1548,Abuse Elevation Control Mechanism,
1042,AC-2,Account Management,mitigates,T1548.003,Sudo and Sudo Caching,
1043,AC-3,Access Enforcement,mitigates,T1548,Abuse Elevation Control Mechanism,
1044,AC-3,Access Enforcement,mitigates,T1548.003,Sudo and Sudo Caching,
1045,AC-6,Least Privilege,mitigates,T1548,Abuse Elevation Control Mechanism,
1046,AC-6,Least Privilege,mitigates,T1548.003,Sudo and Sudo Caching,
1047,AC-16,Security Attributes,mitigates,T1548,Abuse Elevation Control Mechanism,
1048,AC-16,Security Attributes,mitigates,T1548.003,Sudo and Sudo Caching,
1049,SI-4,Information System Monitoring,mitigates,T1548,Abuse Elevation Control Mechanism,
1050,SI-4,Information System Monitoring,mitigates,T1548.003,Sudo and Sudo Caching,
1051,CA-7,Continuous Monitoring,mitigates,T1548,Abuse Elevation Control Mechanism,
1052,CA-7,Continuous Monitoring,mitigates,T1548.003,Sudo and Sudo Caching,
1053,CA-7,Continuous Monitoring,mitigates,T1552.004,Private Keys,
1054,SI-4,Information System Monitoring,mitigates,T1552.001,Credentials In Files,
1055,SI-4,Information System Monitoring,mitigates,T1552.004,Private Keys,
1056,AC-2,Account Management,mitigates,T1552.004,Private Keys,
1057,IA-2,Identification And Authentication (Organizational Users),mitigates,T1552.004,Private Keys,
1058,IA-5,Authenticator Management,mitigates,T1552.001,Credentials In Files,
1059,IA-5,Authenticator Management,mitigates,T1552.004,Private Keys,
1060,CM-2,Baseline Configuration,mitigates,T1552.004,Private Keys,
1061,CM-6,Configuration Settings,mitigates,T1552.004,Private Keys,
1062,SC-7,Boundary Protection,mitigates,T1552.004,Private Keys,
1063,SC-12,Cryptographic Key Establishment And Management,mitigates,T1552.001,Credentials In Files,
1064,SC-12,Cryptographic Key Establishment And Management,mitigates,T1552.004,Private Keys,
1065,SC-28,Protection Of Information At Rest,mitigates,T1552.004,Private Keys,
1066,AC-3,Access Enforcement,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1067,CA-7,Continuous Monitoring,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1068,SI-3,Malicious Code Protection,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1069,SI-4,Information System Monitoring,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1070,CM-2,Baseline Configuration,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1071,CM-6,Configuration Settings,mitigates,T1553.003,SIP and Trust Provider Hijacking,
1072,CM-2,Baseline Configuration,mitigates,T1562.002,Disable Windows Event Logging,
1073,CM-2,Baseline Configuration,mitigates,T1562.004,Disable or Modify System Firewall,
1074,CM-2,Baseline Configuration,mitigates,T1562.001,Disable or Modify Tools,
1075,CM-2,Baseline Configuration,mitigates,T1562,Impair Defenses,
1076,CM-2,Baseline Configuration,mitigates,T1562.006,Indicator Blocking,
1077,CM-6,Configuration Settings,mitigates,T1562.002,Disable Windows Event Logging,
1078,CM-6,Configuration Settings,mitigates,T1562.004,Disable or Modify System Firewall,
1079,CM-6,Configuration Settings,mitigates,T1562.001,Disable or Modify Tools,
1080,CM-6,Configuration Settings,mitigates,T1562,Impair Defenses,
1081,CM-6,Configuration Settings,mitigates,T1562.006,Indicator Blocking,
1082,CA-7,Continuous Monitoring,mitigates,T1562.002,Disable Windows Event Logging,
1083,CA-7,Continuous Monitoring,mitigates,T1562.004,Disable or Modify System Firewall,
1084,CA-7,Continuous Monitoring,mitigates,T1562.001,Disable or Modify Tools,
1085,CA-7,Continuous Monitoring,mitigates,T1562,Impair Defenses,
1086,CA-7,Continuous Monitoring,mitigates,T1562.006,Indicator Blocking,
1087,SI-3,Malicious Code Protection,mitigates,T1562.002,Disable Windows Event Logging,
1088,SI-3,Malicious Code Protection,mitigates,T1562.004,Disable or Modify System Firewall,
1089,SI-3,Malicious Code Protection,mitigates,T1562.001,Disable or Modify Tools,
1090,SI-3,Malicious Code Protection,mitigates,T1562,Impair Defenses,
1091,SI-3,Malicious Code Protection,mitigates,T1562.006,Indicator Blocking,
1092,SI-4,Information System Monitoring,mitigates,T1562.002,Disable Windows Event Logging,
1093,SI-4,Information System Monitoring,mitigates,T1562.004,Disable or Modify System Firewall,
1094,SI-4,Information System Monitoring,mitigates,T1562.001,Disable or Modify Tools,
1095,SI-4,Information System Monitoring,mitigates,T1562,Impair Defenses,
1096,SI-4,Information System Monitoring,mitigates,T1562.006,Indicator Blocking,
1097,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1562.002,Disable Windows Event Logging,
1098,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1562.004,Disable or Modify System Firewall,
1099,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1562.001,Disable or Modify Tools,
1100,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1562,Impair Defenses,
1101,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1562.006,Indicator Blocking,
1102,CM-2,Baseline Configuration,mitigates,T1563.001,SSH Hijacking,
1103,CM-6,Configuration Settings,mitigates,T1563.001,SSH Hijacking,
1104,CM-7,Least Functionality,mitigates,T1563.001,SSH Hijacking,
1105,AC-2,Account Management,mitigates,T1563.001,SSH Hijacking,
1106,AC-3,Access Enforcement,mitigates,T1563.001,SSH Hijacking,
1107,AC-6,Least Privilege,mitigates,T1563.001,SSH Hijacking,
1108,CA-7,Continuous Monitoring,mitigates,T1563.001,SSH Hijacking,
1109,SI-4,Information System Monitoring,mitigates,T1563.001,SSH Hijacking,
1110,SC-23,Session Authenticity,mitigates,T1563.001,SSH Hijacking,
1111,AC-3,Access Enforcement,mitigates,T1564.004,NTFS File Attributes,
1112,AC-16,Security Attributes,mitigates,T1564.004,NTFS File Attributes,
1113,CA-7,Continuous Monitoring,mitigates,T1564.004,NTFS File Attributes,
1114,SI-3,Malicious Code Protection,mitigates,T1564.004,NTFS File Attributes,
1115,SI-4,Information System Monitoring,mitigates,T1564.004,NTFS File Attributes,
1116,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1564.004,NTFS File Attributes,
1117,SC-4,Information In Shared Resources,mitigates,T1565,Data Manipulation,
1118,SC-4,Information In Shared Resources,mitigates,T1565.003,Runtime Data Manipulation,
1119,SC-4,Information In Shared Resources,mitigates,T1565.001,Stored Data Manipulation,
1120,SC-7,Boundary Protection,mitigates,T1565,Data Manipulation,
1121,SC-7,Boundary Protection,mitigates,T1565.003,Runtime Data Manipulation,
1122,SC-7,Boundary Protection,mitigates,T1565.001,Stored Data Manipulation,
1123,SC-28,Protection Of Information At Rest,mitigates,T1565,Data Manipulation,
1124,SC-28,Protection Of Information At Rest,mitigates,T1565.003,Runtime Data Manipulation,
1125,SC-28,Protection Of Information At Rest,mitigates,T1565.001,Stored Data Manipulation,
1126,CA-7,Continuous Monitoring,mitigates,T1565,Data Manipulation,
1127,CA-7,Continuous Monitoring,mitigates,T1565.003,Runtime Data Manipulation,
1128,CA-7,Continuous Monitoring,mitigates,T1565.001,Stored Data Manipulation,
1129,SI-4,Information System Monitoring,mitigates,T1565,Data Manipulation,
1130,SI-4,Information System Monitoring,mitigates,T1565.003,Runtime Data Manipulation,
1131,SI-4,Information System Monitoring,mitigates,T1565.001,Stored Data Manipulation,
1132,SI-16,Memory Protection,mitigates,T1565,Data Manipulation,
1133,SI-16,Memory Protection,mitigates,T1565.003,Runtime Data Manipulation,
1134,SI-16,Memory Protection,mitigates,T1565.001,Stored Data Manipulation,
1135,CP-9,Information System Backup,mitigates,T1565,Data Manipulation,
1136,CP-9,Information System Backup,mitigates,T1565.003,Runtime Data Manipulation,
1137,CP-9,Information System Backup,mitigates,T1565.001,Stored Data Manipulation,
1138,AC-3,Access Enforcement,mitigates,T1565,Data Manipulation,
1139,AC-3,Access Enforcement,mitigates,T1565.003,Runtime Data Manipulation,
1140,AC-3,Access Enforcement,mitigates,T1565.001,Stored Data Manipulation,
1141,AC-2,Account Management,mitigates,T1569.002,Service Execution,
1142,AC-3,Access Enforcement,mitigates,T1569.002,Service Execution,
1143,AC-6,Least Privilege,mitigates,T1569.002,Service Execution,
1144,CA-7,Continuous Monitoring,mitigates,T1569.002,Service Execution,
1145,CA-7,Continuous Monitoring,mitigates,T1569,System Services,
1146,SI-3,Malicious Code Protection,mitigates,T1569.002,Service Execution,
1147,SI-3,Malicious Code Protection,mitigates,T1569,System Services,
1148,SI-4,Information System Monitoring,mitigates,T1569.002,Service Execution,
1149,SI-4,Information System Monitoring,mitigates,T1569,System Services,
1150,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1569.002,Service Execution,
1151,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1569,System Services,
1152,CM-2,Baseline Configuration,mitigates,T1569.002,Service Execution,
1153,CM-2,Baseline Configuration,mitigates,T1569,System Services,
1154,CM-6,Configuration Settings,mitigates,T1569.002,Service Execution,
1155,CM-6,Configuration Settings,mitigates,T1569,System Services,
1156,CM-7,Least Functionality,mitigates,T1569.002,Service Execution,
1157,CM-7,Least Functionality,mitigates,T1569,System Services,
1158,CM-2,Baseline Configuration,mitigates,T1574.002,DLL Side-Loading,
1159,CM-2,Baseline Configuration,mitigates,T1574.004,Dylib Hijacking,
1160,CM-2,Baseline Configuration,mitigates,T1574,Hijack Execution Flow,
1161,CM-2,Baseline Configuration,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1162,CM-2,Baseline Configuration,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1163,CM-2,Baseline Configuration,mitigates,T1574.009,Path Interception by Unquoted Path,
1164,CM-6,Configuration Settings,mitigates,T1574.002,DLL Side-Loading,
1165,CM-6,Configuration Settings,mitigates,T1574.004,Dylib Hijacking,
1166,CM-6,Configuration Settings,mitigates,T1574,Hijack Execution Flow,
1167,CM-6,Configuration Settings,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1168,CM-6,Configuration Settings,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1169,CM-6,Configuration Settings,mitigates,T1574.009,Path Interception by Unquoted Path,
1170,CM-8,Information System Component Inventory,mitigates,T1574.002,DLL Side-Loading,
1171,CM-8,Information System Component Inventory,mitigates,T1574.004,Dylib Hijacking,
1172,CM-8,Information System Component Inventory,mitigates,T1574,Hijack Execution Flow,
1173,CM-8,Information System Component Inventory,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1174,CM-8,Information System Component Inventory,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1175,CM-8,Information System Component Inventory,mitigates,T1574.009,Path Interception by Unquoted Path,
1176,AC-2,Account Management,mitigates,T1574.002,DLL Side-Loading,
1177,AC-2,Account Management,mitigates,T1574.004,Dylib Hijacking,
1178,AC-2,Account Management,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1179,AC-2,Account Management,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1180,AC-2,Account Management,mitigates,T1574.009,Path Interception by Unquoted Path,
1181,AC-3,Access Enforcement,mitigates,T1574.002,DLL Side-Loading,
1182,AC-3,Access Enforcement,mitigates,T1574.004,Dylib Hijacking,
1183,AC-3,Access Enforcement,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1184,AC-3,Access Enforcement,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1185,AC-3,Access Enforcement,mitigates,T1574.009,Path Interception by Unquoted Path,
1186,AC-4,Information Flow Enforcement,mitigates,T1574.002,DLL Side-Loading,
1187,AC-4,Information Flow Enforcement,mitigates,T1574.004,Dylib Hijacking,
1188,AC-4,Information Flow Enforcement,mitigates,T1574,Hijack Execution Flow,
1189,AC-4,Information Flow Enforcement,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1190,AC-4,Information Flow Enforcement,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1191,AC-4,Information Flow Enforcement,mitigates,T1574.009,Path Interception by Unquoted Path,
1192,AC-5,Separation Of Duties,mitigates,T1574.002,DLL Side-Loading,
1193,AC-5,Separation Of Duties,mitigates,T1574.004,Dylib Hijacking,
1194,AC-5,Separation Of Duties,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1195,AC-5,Separation Of Duties,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1196,AC-5,Separation Of Duties,mitigates,T1574.009,Path Interception by Unquoted Path,
1197,AC-6,Least Privilege,mitigates,T1574.002,DLL Side-Loading,
1198,AC-6,Least Privilege,mitigates,T1574.004,Dylib Hijacking,
1199,AC-6,Least Privilege,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1200,AC-6,Least Privilege,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1201,AC-6,Least Privilege,mitigates,T1574.009,Path Interception by Unquoted Path,
1202,CA-7,Continuous Monitoring,mitigates,T1574.002,DLL Side-Loading,
1203,CA-7,Continuous Monitoring,mitigates,T1574.004,Dylib Hijacking,
1204,CA-7,Continuous Monitoring,mitigates,T1574,Hijack Execution Flow,
1205,CA-7,Continuous Monitoring,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1206,CA-7,Continuous Monitoring,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1207,CA-7,Continuous Monitoring,mitigates,T1574.009,Path Interception by Unquoted Path,
1208,SI-3,Malicious Code Protection,mitigates,T1574.002,DLL Side-Loading,
1209,SI-3,Malicious Code Protection,mitigates,T1574.004,Dylib Hijacking,
1210,SI-3,Malicious Code Protection,mitigates,T1574,Hijack Execution Flow,
1211,SI-3,Malicious Code Protection,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1212,SI-3,Malicious Code Protection,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1213,SI-3,Malicious Code Protection,mitigates,T1574.009,Path Interception by Unquoted Path,
1214,SI-4,Information System Monitoring,mitigates,T1574.002,DLL Side-Loading,
1215,SI-4,Information System Monitoring,mitigates,T1574.004,Dylib Hijacking,
1216,SI-4,Information System Monitoring,mitigates,T1574,Hijack Execution Flow,
1217,SI-4,Information System Monitoring,mitigates,T1574.007,Path Interception by PATH Environment Variable,
1218,SI-4,Information System Monitoring,mitigates,T1574.008,Path Interception by Search Order Hijacking,
1219,SI-4,Information System Monitoring,mitigates,T1574.009,Path Interception by Unquoted Path,
1220,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1574.002,DLL Side-Loading,
1221,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1574.004,Dylib Hijacking,
1222,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1574,Hijack Execution Flow,
1223,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1574.007,Path Interception by PATH Environment Variable,
1224,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1574.008,Path Interception by Search Order Hijacking,
