docKey,domain,title,control_id,control_description
166,"Supply Chain Management, Transparency & Accountability",Supply Chain Inventory,STA-07,Develop and maintain an inventory of all supply chain relationships.
167,"Supply Chain Management, Transparency & Accountability",Supply Chain Risk Management,STA-08,CSPs periodically review risk factors associated with all organizations within their supply chain.
168,"Supply Chain Management, Transparency & Accountability",Primary Service and Contractual Agreement,STA-09,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy"
169,"Supply Chain Management, Transparency & Accountability",Supply Chain Agreement Review,STA-10,Review supply chain agreements between CSPs and CSCs at least annually.
170,"Supply Chain Management, Transparency & Accountability",Internal Compliance Testing,STA-11,"Define and implement a process for conducting internal assessments to confirm conformance and effectiveness of standards, policies, procedures, and service level agreement activities at least annually."
171,"Supply Chain Management, Transparency & Accountability",Supply Chain Service Agreement Compliance,STA-12,"Implement policies requiring all CSPs throughout the supply chain to comply with information security, confidentiality, access control, privacy, audit, personnel policy and service level requirements and standards."
172,"Supply Chain Management, Transparency & Accountability",Supply Chain Governance Review,STA-13,Periodically review the organization's supply chain partners' IT governance policies and procedures.
173,"Supply Chain Management, Transparency & Accountability",Supply Chain Data Security Assessment,STA-14,Define and implement a process for conducting security assessments periodically for all organizations within the supply chain.
174,Threat & Vulnerability Management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to identify, report and prioritize the remediation of vulnerabilities, in order to protect systems against vulnerability exploitation. Review and update the policies and procedures at least annually."
175,Threat & Vulnerability Management,Malware Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect against malware on managed assets. Review and update the policies and procedures at least annually."
176,Threat & Vulnerability Management,Vulnerability Remediation Schedule,TVM-03,"Define, implement and evaluate processes, procedures and technical measures to enable both scheduled and emergency responses to vulnerability identifications, based on the identified risk."
177,Threat & Vulnerability Management,Detection Updates,TVM-04,"Define, implement and evaluate processes, procedures and technical measures to update detection tools, threat signatures, and indicators of compromise on a weekly, or more frequent basis."
178,Threat & Vulnerability Management,External Library Vulnerabilities,TVM-05,"Define, implement and evaluate processes, procedures and technical measures to identify updates for applications which use third party or open source libraries according to the organization's vulnerability management policy."
179,Threat & Vulnerability Management,Penetration Testing,TVM-06,"Define, implement and evaluate processes, procedures and technical measures for the periodic performance of penetration testing by independent third parties."
180,Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"Define, implement and evaluate processes, procedures and technical measures for the detection of vulnerabilities on organizationally managed assets at least monthly."
181,Threat & Vulnerability Management,Vulnerability Prioritization,TVM-08,Use a risk-based model for effective prioritization of vulnerability remediation using an industry recognized framework.
182,Threat & Vulnerability Management,Vulnerability Management Reporting,TVM-09,Define and implement a process for tracking and reporting vulnerability identification and remediation activities that includes stakeholder notification.
183,Threat & Vulnerability Management,Vulnerability Management Metrics,TVM-10,"Establish, monitor and report metrics for vulnerability identification and remediation at defined intervals."
184,Universal Endpoint Management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for all endpoints. Review and update the policies and procedures at least annually."
185,Universal Endpoint Management,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data."
186,Universal Endpoint Management,Compatibility,UEM-03,Define and implement a process for the validation of the endpoint device's compatibility with operating systems and applications.
187,Universal Endpoint Management,Endpoint Inventory,UEM-04,Maintain an inventory of all endpoints used to store and access company data.
188,Universal Endpoint Management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical measures to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data."
189,Universal Endpoint Management,Automatic Lock Screen,UEM-06,Configure all relevant interactive-use endpoints to require an automatic lock screen.
190,Universal Endpoint Management,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or applications through the company's change management processes."
191,Universal Endpoint Management,Storage Encryption,UEM-08,Protect information from unauthorized disclosure on managed endpoint devices with storage encryption.
192,Universal Endpoint Management,Anti-Malware Detection and Prevention,UEM-09,Configure managed endpoints with anti-malware detection and prevention technology and services.
193,Universal Endpoint Management,Software Firewall,UEM-10,Configure managed endpoints with properly configured software firewalls.
194,Universal Endpoint Management,Data Loss Prevention,UEM-11,Configure managed endpoints with Data Loss Prevention (DLP) technologies and rules in accordance with a risk assessment.
195,Universal Endpoint Management,Remote Locate,UEM-12,Enable remote geo-location capabilities for all managed mobile endpoints.
196,Universal Endpoint Management,Remote Wipe,UEM-13,"Define, implement and evaluate processes, procedures and technical measures to enable the deletion of company data remotely on managed endpoint devices."
197,Universal Endpoint Management,Third-Party Endpoint Security Posture,UEM-14,"Define, implement and evaluate processes, procedures and technical and/or contractual measures to maintain proper security of third-party endpoints with access to organizational assets."
